"Glottocode","Family_GLOT_Lv1","Genus","Area_GLOT","Classifiers","Gender","NounClass","dens_lang","dens_fam","dist_river","dist_ocean","elev","elevSD","n_warm_month_2ad","temp_mean_2ad","per_wetqu_2ad","per_cv_2ad","temp_warmqu_2ad","gras_2ad","crop_2ad","pop_2ad"
"tula1252","atla1278",NA,"Africa",FALSE,FALSE,TRUE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"nyam1285","afro1255",NA,"Africa",FALSE,TRUE,FALSE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"jiba1237","atla1278",NA,"Africa",FALSE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"nucl1696","afro1255","West Chadic","Africa",FALSE,TRUE,FALSE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"nucl1240","atla1278","Adamawa","Africa",FALSE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"pero1241","afro1255","West Chadic","Africa",FALSE,TRUE,FALSE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"guru1271","afro1255",NA,"Africa",FALSE,FALSE,FALSE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"taro1263","atla1278","Platoid","Africa",FALSE,FALSE,TRUE,0.0833333333333333,0.142857142857143,0,0.268528786067269,0.024277836917566,0.0759949597874689,1,0.953229398663697,0.209128065395095,0.532967032967033,0.823663253697383,0.515112990586972,0.0308669068714454,0.0313161027510649
"adam1253","atla1278","Northern Atlantic","Africa",FALSE,FALSE,TRUE,0.0357142857142857,0,0,0.308550897544129,0.0382882435121443,0.0764737113042161,1,0.948775055679287,0.219005449591281,0.543956043956044,0.812286689419795,0.650335019532762,0.277346412993348,0.030967336917096
"sout2782","atla1278",NA,"Africa",FALSE,FALSE,FALSE,0.0357142857142857,0,0,0.308550897544129,0.0382882435121443,0.0764737113042161,1,0.948775055679287,0.219005449591281,0.543956043956044,0.812286689419795,0.650335019532762,0.277346412993348,0.030967336917096
"doya1240","atla1278","Adamawa","Africa",FALSE,FALSE,FALSE,0.0357142857142857,0,0,0.308550897544129,0.0382882435121443,0.0764737113042161,1,0.948775055679287,0.219005449591281,0.543956043956044,0.812286689419795,0.650335019532762,0.277346412993348,0.030967336917096
"gaaa1245","atla1278",NA,"Africa",FALSE,FALSE,FALSE,0.0357142857142857,0,0,0.308550897544129,0.0382882435121443,0.0764737113042161,1,0.948775055679287,0.219005449591281,0.543956043956044,0.812286689419795,0.650335019532762,0.277346412993348,0.030967336917096
"gida1247","afro1255","Biu-Mandara","Africa",FALSE,TRUE,FALSE,0.0357142857142857,0.285714285714286,0.0126771004246322,0.351884616928919,0.0736558449890928,0.0392381630908871,1,0.93652561247216,0.223603542234332,0.582417582417582,0.794084186575654,0.690250620747231,0.0664368952643142,0.0107294786183293
"mamb1294","atla1278","Adamawa","Africa",FALSE,FALSE,FALSE,0.0357142857142857,0.285714285714286,0.0126771004246322,0.351884616928919,0.0736558449890928,0.0392381630908871,1,0.93652561247216,0.223603542234332,0.582417582417582,0.794084186575654,0.690250620747231,0.0664368952643142,0.0107294786183293
"peve1243","afro1255","Masa","Africa",FALSE,TRUE,FALSE,0.0357142857142857,0.285714285714286,0.0126771004246322,0.351884616928919,0.0736558449890928,0.0392381630908871,1,0.93652561247216,0.223603542234332,0.582417582417582,0.794084186575654,0.690250620747231,0.0664368952643142,0.0107294786183293
