Glottocode,Family_GLOT_Lv1,Genus,Area_GLOT,Longitude,Latitude,Classifiers,Gender,NounClass,Source
hali1244,aust1307,Oceanic,Papunesia,154.662,-5.26603,FALSE,FALSE,FALSE,"Allen 1978, Allen 1987, Allen and Allen 1965"
halk1245,sali1255,Central Salish,North America,-122.029,48.0751,TRUE,TRUE,FALSE,"Gerdts 1982, Gerdts 1988, Galloway 1977, Leslie 1979, Suttles 2004"
hame1242,sout2845,South Omotic,Africa,36.5176,5.06515,FALSE,TRUE,FALSE,"Joswig 2011, Lydall 1976, Petrollino 2016"
hamt1247,anga1289,Angan,Papunesia,146.227,-7.54975,FALSE,TRUE,FALSE,Oates and Oates 1968
hang1263,nduu1242,Middle Sepik,Papunesia,142.849,-3.90364,FALSE,TRUE,FALSE,Wendel 1993
hano1246,aust1307,Oceanic,Papunesia,168.167,-15.5432,FALSE,FALSE,FALSE,"Vari-Bogiri 2011, Crowley 2002, Ivens 1936, Walsh 1966"
hara1271,afro1255,Semitic,Africa,42.1332,9.30485,FALSE,TRUE,FALSE,"Naji 2012, Leslau 1958, Mitiku Cherinet 2013"
haro1237,aust1307,NA,Eurasia,108.995,13.2201,TRUE,FALSE,FALSE,Goschnick 1977
hary1238,indo1319,NA,Eurasia,76.0432,29.0166,FALSE,TRUE,FALSE,"Joseph 1910, Singh 1959"
harz1239,indo1319,NA,Eurasia,48.2848,38.4341,FALSE,FALSE,FALSE,Karimzadeh 1372 [1994]
hass1238,afro1255,Semitic,Africa,-14.11,18.29,FALSE,TRUE,FALSE,"Francis and Hanchey 1979, Taine-Cheikh 2006"
hata1243,hata1242,Hatam,Papunesia,134.037,-1.13531,TRUE,FALSE,FALSE,"Reesink 1999, Reesink 1995, Donohue 1997"
haus1257,afro1255,West Chadic,Africa,8.7804,11.1513,FALSE,TRUE,FALSE,"Abdoulaye 1992, Abraham 1941, Caron 2011, Cowan and Schuh 1976, Hodge 1947, Jaggar 2001, Kraft and Kirk-Greene 1973, Kraft and Kraft 1973, Migeod 1914, Miller 1922, Newman 2000, Smirnova 1982"
hava1248,coch1271,Yuman,North America,-113.385,35.6302,TRUE,FALSE,FALSE,"Hardy 1979, Redden 1966, Kendall 1976, Kozlowski 1972, Redden 1965, Seiden 1963, Watahomigie, Bender and Yamamoto 1982"
hawa1245,aust1307,Oceanic,Papunesia,-155.43,19.6297,FALSE,FALSE,FALSE,"Elbert and Pukui 1979, Elbert 1970, Hawkins 1979, Judd, Pukui and Stokes 1943, Andrews 1854, Alexander 1920"
hawa1247,indo1319,Creoles and Pidgins,Papunesia,-155.437,19.6287,FALSE,FALSE,FALSE,"Sakoda and Siegel 2004, Velupillai 2013"
hawk1239,pama1250,NA,Australia,150.4952383,-33.11470744,FALSE,FALSE,FALSE,Jones 2008
haya1250,atla1278,Bantoid,Africa,31.4846,-1.70878,FALSE,FALSE,TRUE,"Byarushengo, Duranti and Hyman 1977"
haza1239,indo1319,NA,Eurasia,64.5105,33.3708,FALSE,FALSE,FALSE,Dulling 1973
hdii1240,afro1255,Biu-Mandara,Africa,13.6881,10.942,FALSE,FALSE,FALSE,Frajzyngier 2002
hebr1245,afro1255,Semitic,Eurasia,35.0179,31.1056,TRUE,TRUE,FALSE,"Prince 1975, Berman 1978, Coffin and Bolozky 2005, Glinert 1989, Glinert 2005, Zhakevich and Kantor 2019"
heil1246,waka1280,Northern Wakashan,North America,-127.221,51.7045,FALSE,FALSE,FALSE,Rath 1981
hela1238,sino1245,NA,Eurasia,85.6289,27.9212,TRUE,FALSE,FALSE,"Hari 2010, Gawne 2016, Gawne 2013"
here1253,atla1278,Bantoid,Africa,20.5655,-21.0231,FALSE,FALSE,TRUE,"Elderkin 2003, Möhlig, Marten and Kavari 2002, Möhlig and Kavari 2008, Ohly 1999"
hewa1241,sepi1257,NA,Papunesia,142.551,-5.03635,FALSE,FALSE,FALSE,"Cochran 1968, Vollrath 1981"
hezh1244,sino1245,NA,Eurasia,103.197,35.59,TRUE,FALSE,FALSE,"Dwyer 1995, Lee-Smith 1996"
hida1246,siou1252,Siouan,North America,-102.528,47.7534,TRUE,FALSE,FALSE,"Robinett 1955, Boyle 2007, Matthews 1965, Park 2012, Matthews 1877, Matthews 1873"
hier1240,indo1319,NA,Eurasia,34.615278,40.019722,FALSE,TRUE,FALSE,"Payne 2014, Payne 2010, Marangozis 2003, Payne 2004"
high1242,tequ1244,Tequistlatecan,North America,-95.7301,16.1849,FALSE,FALSE,FALSE,Turner 1966
high1276,mixe1284,Mixe-Zoque,North America,-94.9109,18.198,FALSE,FALSE,FALSE,"Elson 1967, Foster and Foster 1948, Jong Boudreault 2009"
high1278,utoa1244,Aztecan,North America,-97.5556,20.1554,FALSE,FALSE,FALSE,Robinson 1970
hija1235,afro1255,Semitic,Eurasia,38.9237,22.8346,FALSE,TRUE,FALSE,"Al-Azraqi 1998, Il-Hazmy 1975, Kheshaifaty 1989, Nadwi 1968, Nakshabandi 1988, Rabin 1951, Sieny 1972"
hili1240,aust1307,Greater Central Philippine,Papunesia,122.974,10.4018,FALSE,FALSE,FALSE,"Wolfenden 1971, Wolfenden 1975, Motus 1971, Peace Corps 1990, Spitz 2001"
hind1269,indo1319,Indic,Eurasia,77,25,TRUE,TRUE,FALSE,"Pytlowany 2018 [1698], Chatterji 1931, Strnad 2013, Kachru 2006, Kachru 1980, Koul 2009, Shapiro 2003, McGregor 1995, Agnihotri 2007, Scholberg 1955, Shapiro 1989, Van Olphen 1970, Vishnu 2008"
hinu1240,nakh1245,Avar-Andic-Tsezic,Eurasia,45.8064,42.4502,FALSE,TRUE,FALSE,"Forker 2011, Forker 2013, Isakov and Xalilov 2004"
hitt1242,indo1319,NA,Eurasia,35,40,FALSE,TRUE,FALSE,"Watkins 2008, Hoffner and Melchert 2008, Kloekhorst 2007, Luraghi 1997, Bloomfield 1921, Vanséveren 2006"
hixk1239,cari1283,Cariban,South America,-58.80153,-0.16265,FALSE,FALSE,FALSE,"Derbyshire 1979, Derbyshire 1961, Derbyshire 1985"
hlai1239,taik1256,Hlai,Eurasia,109.459,18.8062,FALSE,FALSE,FALSE,Ostapirat 2008
hmar1241,sino1245,Kuki-Chin,Eurasia,93.5497,24.7534,TRUE,FALSE,FALSE,Baruah and Bapui 1996
hmon1264,hmon1336,NA,Eurasia,101.95,22.5638,TRUE,FALSE,FALSE,"Mortensen 2019, Kunyot 1984, Lyman 1979, Dej-Amorn 2006"
hmon1333,hmon1336,Hmong-Mien,Eurasia,103.164,21.5461,TRUE,FALSE,FALSE,Whitelock 1982
hoaa1235,kxaa1236,NA,Africa,24.69828,-23.93447,FALSE,FALSE,FALSE,"Collins and Gruber 2014, Honken 2013"
hoav1238,aust1307,Oceanic,Papunesia,157.595,-8.19679,TRUE,FALSE,FALSE,Davis 2003
hoch1243,siou1252,Siouan,North America,-88.5,43.5,FALSE,FALSE,FALSE,"Lipkind 1945, Marino 1968"
homs1234,indo1319,NA,Eurasia,44.4839,40.1897,FALSE,FALSE,FALSE,"Vaux 2001, Vaux 2007, Sakayan 2012, Riggs 1847, Kogian 1949"
hooo1248,aust1305,Munda,Eurasia,87.1188,23.9596,FALSE,TRUE,FALSE,"Anderson, Osada and Harrison 2008, Choudhary 2012, Deeney 1975, Burrows 1915, Prasad 1961, Pucilowski 2013"
hopi1249,utoa1244,Hopi,North America,-110.535,35.7653,FALSE,FALSE,FALSE,"Whorf 1946, Malotki 1983, Kalectaca and Langacker 1978, Jeanne 1978"
horp1239,sino1245,NA,Eurasia,101.72,31.1026,TRUE,FALSE,FALSE,"Jacques, Lai, Antonov and Nima 2017, Honkasalo 2019"
hote1245,aust1307,NA,Papunesia,146.869,-7.07708,FALSE,FALSE,FALSE,Muzzey 1979
hozo1236,maoo1243,NA,Africa,34.60448,9.38875,FALSE,TRUE,FALSE,Kassa 2014
hran1239,sino1245,NA,Eurasia,93.351,24.4559,FALSE,FALSE,FALSE,Soppitt 1887
hree1244,aust1305,Bahnaric,Eurasia,108.694,14.6308,FALSE,FALSE,FALSE,"Nghĩa, Trebilco and Trebilco 1974"
huaa1248,tuuu1241,Err:509,Africa,20.79583,-24.20022,FALSE,FALSE,TRUE,"Maingard 1958, Traill 1994, Traill 2018"
hual1241,quec1387,NA,South America,-75.594,-9.57135,TRUE,FALSE,FALSE,"Weber 1983, Weber 1989"
huam1247,jiva1245,Jivaroan,South America,-77.9797,-3.99109,FALSE,FALSE,FALSE,Peña 2015
huar1255,utoa1244,Tarahumaran,North America,-108.437,27.8685,TRUE,FALSE,FALSE,Félix Armendáriz 2005
huas1242,maya1287,NA,North America,-98.5028,21.6153,TRUE,FALSE,FALSE,"Edmonson 1988, McQuown 1984"
huau1238,otom1299,Popolocan,North America,-96.724,18.2556,FALSE,FALSE,FALSE,Pike 1967
huay1241,quec1387,NA,South America,-75.2055,-12.1809,FALSE,FALSE,FALSE,Floyd 1993
huba1236,afro1255,Biu-Mandara,Africa,13.139,10.3544,FALSE,FALSE,FALSE,Mu'azu 2009
hueh1236,toto1251,Totonacan,North America,-97.9347,20.6189,TRUE,FALSE,FALSE,"Bower and Erickson 1967, Kryder 1987, Kung 2007"
huic1243,utoa1244,Corachol,North America,-104.062,21.954,FALSE,FALSE,FALSE,"Grimes 1964, Bierge 2017"
hula1239,aust1307,NA,Papunesia,147.705,-9.99427,FALSE,FALSE,FALSE,Short 1938
hula1244,afro1255,NA,Eurasia,43.4865,31.9111,FALSE,TRUE,FALSE,"Khan 2009, Khan 2004"
huli1244,nucl1709,NA,Papunesia,142.963,-5.97212,TRUE,FALSE,FALSE,"Lomas 1988, Rule 1974"
humb1243,song1307,NA,Africa,-1.69301,15.2948,FALSE,FALSE,FALSE,"Heath 2014, Heath 2007"
hung1274,ural1272,Ugric,Eurasia,19.6555271429,46.9068585714,TRUE,FALSE,FALSE,"Hall 1938, Hall 1944, Hartenstein 2013, Kenesei, Vago and Fenyvesi 1998"
hung1275,aust1305,NA,Eurasia,104.772,18.7849,TRUE,FALSE,FALSE,"Enfield and Diffloth 2007, Enfield and Diffloth 2009, Enfield 2005"
hung1278,atla1278,NA,Africa,18.4312,-3.69695,FALSE,FALSE,TRUE,Takizala 1974
hung1280,atla1278,NA,Africa,18.192062,-9.164628,FALSE,FALSE,TRUE,Atkins 1954
huns1239,atla1278,Kainji,Africa,5.07312,10.7898,FALSE,FALSE,TRUE,"Bendor-Samuel, Skitch and Cressman 1973"
hunz1247,nakh1245,Avar-Andic-Tsezic,Eurasia,46.1369,42.0808,FALSE,TRUE,FALSE,Berg 1995
hupa1239,atha1245,Athapaskan,North America,-123.68,41.0982,FALSE,FALSE,FALSE,"Goddard 1905, Goddard 1911, Sapir 2001, Golla 1970, Golla 1994"
hurr1240,hurr1239,NA,Eurasia,43.3154,40.7339,FALSE,FALSE,FALSE,"Hawkins 2007, Campbell 2007, Speiser 1939, Bush 1964, Wilhelm 2008, Speiser 1941"
hutt1235,indo1319,NA,North America,-97,40,FALSE,TRUE,FALSE,Hoover 1997
iaai1238,aust1307,Oceanic,Papunesia,166.59,-20.6301,FALSE,FALSE,FALSE,"Tryon 1968, Lynch 2002, Ray 1926"
iama1237,aust1307,NA,Papunesia,150.573,-9.45005,FALSE,FALSE,FALSE,Beaumont and Beaumont 1975
iatm1242,nduu1242,Middle Sepik,Papunesia,143.316,-4.30064,FALSE,TRUE,FALSE,"Jendraschek 2012, Staalsen 1965"
ibal1244,aust1307,NA,Papunesia,120.695,16.4263,FALSE,FALSE,FALSE,"Scheerer 1905, Ruffolo 2005"
iban1264,aust1307,Malayo-Sumbawan,Papunesia,112.934,2.09041,TRUE,FALSE,FALSE,"Omar 1981, Omar 1969"
ibat1238,aust1307,NA,Papunesia,121.909,18.9398,FALSE,FALSE,FALSE,"Peace Corps 1993, Reid 1966, Maree 2007"
ibib1240,atla1278,Cross River,Africa,7.86688,5.15279,TRUE,FALSE,FALSE,"Essien 1990, Kaufman 1968"
icel1247,indo1319,Germanic,Eurasia,-19.0212,63.4837,FALSE,TRUE,FALSE,"Einarsson 1945, Sweet 1895, Stefán 1949, Thráinsson 2007, Thráinsson 1994"
idaa1241,aust1307,North Borneo,Papunesia,118.515,5.29059,TRUE,FALSE,FALSE,Goudswaard 2005
idom1241,atla1278,Idomoid,Africa,7.71261,7.19139,FALSE,FALSE,FALSE,Abraham 1967
idum1241,sino1245,Digaroan,Eurasia,95.6472,29.4473,TRUE,FALSE,FALSE,"Talukdar 1962, Pulu 1978, Pulu 2002, Blench 2017"
idun1242,aust1307,Oceanic,Papunesia,150.24,-9.34361,FALSE,FALSE,FALSE,"Huckett 1974, Huckett 1976, Huckett 1978, Huckett no date"
igal1242,atla1278,NA,Africa,7.17974,7.34325,FALSE,FALSE,FALSE,"Philpot 1935, Ejeba 2017"
iged1239,atla1278,Idomoid,Africa,8.27362,6.95522,FALSE,FALSE,FALSE,Bergman 1981
ikaa1238,atla1278,NA,Africa,6.31058,6.36423,FALSE,FALSE,FALSE,Onyeche 2002
ikkk1242,kuli1252,Kuliak,Africa,34.2507,3.61407,FALSE,FALSE,FALSE,"Crazzolara 1967, Heine 1983, Schrock 2014, Schrock 2017, Tucker 1971, 1972, 1973"
ikul1238,atla1278,NA,Africa,7.86684,10.1339,FALSE,FALSE,TRUE,Shimizu 1996
ilaa1246,atla1278,Bantoid,Africa,26.45548,-15.60807,TRUE,FALSE,TRUE,Smith 1907
ilia1236,aust1307,NA,Papunesia,124.766,7.34448,FALSE,FALSE,FALSE,"Shand 1976, Wrigglesworth 1971"
ilit1241,turk1311,NA,Eurasia,80.4957,44.0089,FALSE,FALSE,FALSE,Zhào and Hahn 1989
iliu1237,aust1307,NA,Papunesia,125.902,-7.84385,TRUE,FALSE,FALSE,"Penn 2006, Josselin de Jong 1947"
ilok1237,aust1307,Northern Luzon,Papunesia,120.993,15.9361,FALSE,FALSE,FALSE,"Rubino 1997, Rubino 2005, Constantino 1959, Bernabe, Lapid and Sibayan 1975, Constantino 1971, Swift 1909, Peace Corps 1996, Wimbish 1987"
ilon1239,aust1307,NA,Papunesia,121.547,16.3785,FALSE,FALSE,FALSE,Liao 2008
imba1240,quec1387,Quechuan,South America,-78.3729,0.31776,FALSE,FALSE,FALSE,"Jake 1983, Ott 1971, Cole 1982, Cole 1985"
imbo1238,nucl1709,NA,Papunesia,144.026,-6.13629,FALSE,FALSE,FALSE,Stefaniw 1987
imon1245,bord1247,Border,Papunesia,141.171,-3.31228,TRUE,FALSE,FALSE,Seiler 1985
impe1235,afro1255,NA,Eurasia,42.185,33.905,FALSE,TRUE,FALSE,"Johns 1972, Muraoka and Porten 2002, Muraoka and Porten 1998, Rosenthal 1995"
inab1237,aust1307,NA,Papunesia,124.166,12.4264,FALSE,FALSE,FALSE,Jacobson and Jacobson 1980
indo1316,aust1307,Malayo-Sumbawan,Papunesia,109.716,-7.33458,TRUE,FALSE,FALSE,"Danusugondo 1975, Sneddon 1996, Muhadjir 1981, Musgrave 2001, Sneddon 2006, Wouk 1989"
indo1317,aust1307,Sama-Bajaw,Papunesia,122.253,-3.68664,FALSE,FALSE,FALSE,Verheijen 1986
indu1241,indo1319,NA,Eurasia,73.0154,35.3389,FALSE,TRUE,FALSE,Hallberg and Hallberg 1999
ines1240,chum1262,Chumash,North America,-120.08,34.6169,FALSE,FALSE,FALSE,Applegate 1972
inga1252,quec1387,Quechuan,South America,-76.8606,1.00313,FALSE,FALSE,FALSE,Levinsohn 1976
ingu1240,nakh1245,Nakh,Eurasia,45.03,43.11,FALSE,TRUE,FALSE,"Nichols 2011, Nichols 1994"
inor1238,afro1255,NA,Africa,37.7968,7.94883,FALSE,TRUE,FALSE,"Chamora and Hetzron 2000, Leslau 1983, Adnew 2016, Nega 2003, Adigeh 2015"
iowa1245,siou1252,Siouan,North America,-95.5213,40.0511,TRUE,FALSE,FALSE,"Greer 2016, Wistrand-Robinson 1977-1978, Whitman 1947"
ipai1240,coch1271,NA,North America,-116.993,33.005,FALSE,FALSE,FALSE,"Langdon 1970, Langdon 1966, Couro and Langdon 1975"
iqui1243,zapa1251,Zaparoan,South America,-73.97046,-3.31233,FALSE,FALSE,FALSE,"Eastman and Eastman 1963, Lai 2009, Brown 2004"
iraq1241,afro1255,Southern Cushitic,Africa,35.2939,-4.19948,FALSE,TRUE,FALSE,"Mous 1992, Mous 1993, Nordbustad 1988, Whiteley 1953, Whiteley 1958"
irar1238,aust1307,South Halmahera - West New Guinea,Papunesia,133.586,-2.94438,FALSE,FALSE,FALSE,"Jackson 2014, Matsumura and Matsumura 1991, Voorhoeve 1995"
iray1237,aust1307,NA,Papunesia,120.65,13.381,FALSE,FALSE,FALSE,Tweddell 1958
iris1253,indo1319,Celtic,Eurasia,-7.61509,53.2186,TRUE,TRUE,FALSE,"Doyle 2001, O'Donovan 1845, MacEoin 1993, Stenson 1981, Brothers 1920"
iron1242,indo1319,NA,Eurasia,44.61,42.98,FALSE,FALSE,FALSE,Thordarson 1989
irul1243,drav1251,NA,Eurasia,79.95209,12.70645,FALSE,TRUE,FALSE,"Gowda 1974, Zvelebil 1973, 1979, 1982, Lal 1991, Lal 1981"
isin1239,aust1307,NA,Papunesia,121.12,16.3299,FALSE,FALSE,FALSE,"Scheerer 1918, Perlawan 2015"
isir1237,kwer1242,Kwerba,Papunesia,138.595,-1.88775,FALSE,TRUE,FALSE,Oguri 1985
isla1278,araw1281,NA,North America,-61.342957,15.364795,FALSE,TRUE,FALSE,"Taylor 1955, 1956, 1956, 1958, 1958, Rat 1898, Josephs 2019"
isna1241,aust1307,Northern Luzon,Papunesia,121.16,18.2139,FALSE,FALSE,FALSE,Barlaan 1986
isth1242,utoa1244,Aztecan,North America,-94.7547,18.2,FALSE,FALSE,FALSE,Law 1962
isth1244,otom1299,Zapotecan,North America,-94.8444,16.4548,TRUE,FALSE,FALSE,"Bueno Holle 2019, Holle 2016, Radin 1930, Pickett 1960"
istr1245,indo1319,NA,Eurasia,14.2,45.433,FALSE,TRUE,FALSE,Hurren 1972
isuf1235,atla1278,NA,Africa,9.36535,3.96758,FALSE,FALSE,TRUE,Saker 1852
ital1282,indo1319,Romance,Eurasia,12.6489,43.0464,FALSE,TRUE,FALSE,"Maiden and Robustelli 2007, Peyronel and Higgins 2006, Vincent 1988"
itaw1240,aust1307,Northern Luzon,Papunesia,121.58,17.7329,FALSE,FALSE,FALSE,Natividad and Solomon 1970
itza1241,maya1287,Mayan,North America,-89.8734,17.0269,TRUE,FALSE,FALSE,"Hofling 2000, Hofling 1982"
iumi1238,hmon1336,Hmong-Mien,Eurasia,101.17,20.83,TRUE,FALSE,FALSE,"Arisawa 2016, Court 1985, Thowpaou Bliatout, Downing and Lewis 1988"
ivat1242,aust1307,Batanic,Papunesia,121.85,20.77,FALSE,FALSE,FALSE,Yamada 2002
ivbi1241,atla1278,NA,Africa,6.21209,7.15307,FALSE,FALSE,FALSE,Emuekpere-Masagbor 1997
iwai1244,iwai1246,Iwaidjan,Australia,132.453,-11.3379,FALSE,FALSE,FALSE,Pym and Larrimore 1979
iwal1237,aust1307,NA,Papunesia,146.983,-7.20938,FALSE,FALSE,FALSE,Bradshaw 2001
iwam1256,sepi1257,Upper Sepik,Papunesia,141.817,-4.27346,FALSE,FALSE,FALSE,Conrad 1971
ixil1251,maya1287,NA,North America,-90.8935,15.4569,FALSE,FALSE,FALSE,Elliott 1960
ixte1237,otom1299,Otomian,North America,-98.0272,19.2146,FALSE,FALSE,FALSE,Lastra 1998
iyoo1238,nucl1709,NA,Papunesia,146.092,-5.84161,FALSE,FALSE,FALSE,Minter 2009
izer1241,atla1278,NA,Africa,8.7,9.5,FALSE,FALSE,TRUE,Lukas and Willms 1961
izie1238,atla1278,Igboid,Africa,8.03044,6.31831,FALSE,FALSE,FALSE,"Meier, Meier and Bendor-Samuel 1975"
izon1238,ijoi1239,Ijoid,Africa,5.51702,5.17986,FALSE,TRUE,FALSE,"Odisi 1997, Taylor 1862, Williamson 1965"
jadd1243,sino1245,NA,Eurasia,79.153,30.241,FALSE,FALSE,FALSE,Sharma 1990
jahh1242,aust1305,NA,Eurasia,102.291,3.67619,TRUE,FALSE,FALSE,Diffloth 1976
jalk1242,mand1469,NA,Africa,-5.21959,10.5426,FALSE,FALSE,FALSE,Heath 2017
jama1261,araw1282,Arauan,South America,-66.5662,-7.62223,FALSE,TRUE,FALSE,"Vogel 2003, Turner 2004, Dixon 2004, Vogel 1989"
jama1262,indo1319,Creoles and Pidgins,North America,-77.2612,18.13,FALSE,FALSE,FALSE,"Lalla and D'Costa 1990, Bailey 1966, Bailey 1968, Durrleman-Tame 2008, Farquharson 2013, Bilby 1983, Sebba 2004, Patrick 1992, Patrick 1999, Patrick 2004"
jamb1236,aust1307,NA,Papunesia,103.13,-2.6469,TRUE,FALSE,FALSE,Yanti 2010
jami1235,otom1299,Mixtecan,North America,-97.8417,16.2279,FALSE,TRUE,FALSE,Johnson 1988
jams1239,dogo1299,Dogon,Africa,-2.57999,14.1794,FALSE,FALSE,FALSE,Heath 2008
jaqa1244,ayma1253,Aymaran,South America,-75.809231,-12.741939,FALSE,FALSE,FALSE,"Hardman 1966, Hardman 2000"
jara1245,jara1244,South Andamanese,Eurasia,92.658,11.6089,FALSE,FALSE,FALSE,Kumar 2012
jara1266,aust1307,NA,Eurasia,107.813,13.6161,TRUE,FALSE,FALSE,"Jensen 2013, Jensen 2014, Siu 1976"
jaru1254,pama1250,Pama-Nyungan,Australia,128.262,-18.3288,FALSE,FALSE,FALSE,"Senge 2015, Senge 2008, Tsunoda 1981"
jaun1243,indo1319,NA,Eurasia,77.9084,30.5587,FALSE,TRUE,FALSE,"Satish 1990, Satish 1972"
java1254,aust1307,Javanese,Papunesia,109.287,-7.001,TRUE,FALSE,FALSE,"Ogloblin 2005, Krauße 2017, Dudas 1976, Ewing 1999, Robson 1992, Sudiroatmadja 1992, Suharno 1982, Sumukti 1971, Vander Klok 2012"
jebe1250,cahu1265,Cahuapanan,South America,-76.4103,-5.40317,FALSE,FALSE,FALSE,Bendor-Samuel 1979
jede1239,aust1305,NA,Papunesia,101.75,5.3,TRUE,FALSE,FALSE,"Yager and Burenhult 2017, Yager 2020"
jeha1242,aust1305,Aslian,Eurasia,101.541,5.63695,TRUE,FALSE,FALSE,"Burenhult 2005, Burenhult 2002, Schebesta 1928"
jehh1245,aust1305,Bahnaric,Eurasia,107.753,15.2351,TRUE,FALSE,FALSE,"Gradin 1976, 1976, Gradin, Cohen and Thŭng 1976"
jeju1234,kore1284,NA,Eurasia,126.5554,33.3805,FALSE,FALSE,FALSE,Kiaer 2014
jeme1245,kiow1265,Kiowa-Tanoan,North America,-106.766,35.5994,FALSE,FALSE,TRUE,"Myers 1970, Sprott 1992, Yumitani 1998"
jenn1240,drav1251,NA,Eurasia,76.5767,11.5041,FALSE,TRUE,FALSE,"Natanasabapathy 1986, Upadhyaya 1971"
jeru1240,sino1245,NA,Eurasia,86.2547,27.1741,TRUE,FALSE,FALSE,Opgenort 2005
jewi1240,afro1255,NA,Eurasia,44.245,32.273,FALSE,TRUE,FALSE,Segal 2013
jiba1237,atla1278,NA,Africa,11.5099,9.26508,FALSE,FALSE,FALSE,Dinslage and Storch 2000
jica1244,atha1245,Athapaskan,North America,-107.007,36.8079,TRUE,FALSE,FALSE,"Phone, Matilda and Axelrod 2007"
jina1244,afro1255,NA,Africa,14.9611,11.3555,FALSE,TRUE,FALSE,"Schmidt, Odden and Holmberg 2002"
jita1239,atla1278,NA,Africa,33.9141,-1.62681,FALSE,FALSE,TRUE,"Kagaya 2005, Odom and Robinson 2016"
jjuu1238,atla1278,NA,Africa,7.97167,9.83116,FALSE,FALSE,TRUE,McKinney 1985
jola1263,atla1278,Northern Atlantic,Africa,-15.7354766667,12.75752,FALSE,FALSE,TRUE,"Sapir 1965, Sapir 1964"
jowu1238,mand1469,NA,Africa,-5.47873,10.7691,FALSE,FALSE,FALSE,Carlson 1993
juan1238,aust1305,Munda,Eurasia,85.5845,21.2606,FALSE,FALSE,FALSE,"Matson 1964, Dasgupta 1978, Patnaik 2008"
jude1257,indo1319,NA,Eurasia,43.57147,31.45071,FALSE,FALSE,FALSE,Paul 2013
jude1264,afro1255,NA,Eurasia,34.7422,31.9567,FALSE,TRUE,FALSE,Yoda 2005
jude1265,afro1255,NA,Africa,-7.5,33.5,FALSE,TRUE,FALSE,"Heath and Bar-Asher 1982, Heath 2002"
jude1266,afro1255,NA,Eurasia,41.2595,31.5339,FALSE,TRUE,FALSE,"Bar-Moshe 2019, Mansour 1991, Khan 1997"
jude1267,afro1255,NA,Eurasia,45,15,FALSE,FALSE,FALSE,Goitein 1960
juho1239,kxaa1236,Northern Khoisan,Africa,20.7673,-19.688,FALSE,FALSE,TRUE,"Dickens 2005, Dickens 1992, Snyman 1970"
juku1254,atla1278,Platoid,Africa,10.2576,7.20236,FALSE,FALSE,FALSE,"Shimizu 1980, Welmers 1949"
jumj1238,nilo1247,NA,Africa,33.7494,10.4349,FALSE,FALSE,FALSE,"Fadul, Chol, Teebu, Yousif, Blang and Anur 2016"
juqu1238,mixe1284,NA,North America,-95.8484,16.8912,FALSE,FALSE,FALSE,Yasugi 1991
jurm1239,cent2225,Bongo-Bagirmi,Africa,29.974,6.03321,FALSE,FALSE,FALSE,"Andersen 1981, Persson and Persson 1991"
kaba1278,abkh1242,Northwest Caucasian,Eurasia,43.3918,43.5082,FALSE,FALSE,FALSE,"Applebaum 2013, Colarusso 1992, Colarusso 1989, Matasović 2010"
kaba1281,cent2225,NA,Africa,16.7344,7.64972,FALSE,FALSE,FALSE,Moser 2004
kabi1260,pama1250,NA,Australia,153.1539929,-25.44486229,FALSE,FALSE,FALSE,Bell 2003
kabu1256,indo1319,NA,Africa,-23.6148,15.0586,FALSE,FALSE,FALSE,"Baptista 1997, Swolkien 2013, Lang 2013, Baptista 2013, Baptista 2002"
kaby1243,afro1255,Berber,Africa,4.76137,36.4103,FALSE,TRUE,FALSE,"Applegate 1966, Hodgson 1834"
kach1272,indo1319,NA,Eurasia,69.1901,24.2966,FALSE,TRUE,FALSE,Woodland 1998
kach1277,indo1319,NA,Eurasia,69,23.83,FALSE,TRUE,FALSE,"Rohra 1966, Mukherjee 1992"
kach1279,sino1245,Bodo-Garo,Eurasia,92.317,26.6882,TRUE,FALSE,FALSE,Endle 1884
kach1280,sino1245,Jingpho,Eurasia,97.3278,25.4634,TRUE,FALSE,FALSE,"Qingxia and Diehl 2003, Hanson 1896, Hertz 1902, Kurabe 2017, Kurabe 2012"
kach1284,gong1255,NA,Africa,37.9291,6.3971,FALSE,TRUE,FALSE,"Sintayehu 2017, Wolde-Mariam 2015"
kaci1244,surm1244,Surmic,Africa,34.9436,6.16512,FALSE,FALSE,FALSE,"Kapranova 2011, Yigezu and Dimmendaal 1998"
kada1242,drav1251,NA,Eurasia,76.7285,11.0602,FALSE,FALSE,FALSE,Indira 1976
kadi1248,guai1249,Guaicuruan,South America,-57.582,-19.7222,TRUE,FALSE,FALSE,Sandalo 1995
kado1242,sino1245,NA,Eurasia,100.092,21.5259,TRUE,FALSE,FALSE,Sangdong 2012
kaer1234,timo1261,NA,Papunesia,124.0177,-8.3287,TRUE,FALSE,FALSE,Klamer 2014
kafo1240,timo1261,NA,Papunesia,124.446,-8.36572,TRUE,FALSE,FALSE,Baird 2017
kaga1256,aust1307,NA,Papunesia,119.872,10.4656,TRUE,FALSE,FALSE,"Pebley and MacGregor 1999, Harmon 1977"
kagu1239,atla1278,Bantoid,Africa,37.0534,-6.38204,FALSE,FALSE,TRUE,"Last 1886, Petzell 2008"
kaik1246,sino1245,NA,Eurasia,83.1384,28.853,TRUE,FALSE,FALSE,Regmi 2013
